name,value,id,promotion,image_main,description,type
Product icy,5197.00,0,true,76,https://picsum.photos/id/531/4000/3000.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,1
Product negative,4999.00,1,false,0,https://picsum.photos/id/417/2896/1944.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,2
Product bloody,9501.00,2,false,0,https://picsum.photos/id/45/4592/2576.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,3
Product prior,2935.00,3,true,58,https://picsum.photos/id/347/5149/3433.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,4
Product unsightly,8284.00,4,false,0,https://picsum.photos/id/1043/5184/3456.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,1
Product imaginative,4252.00,5,true,51,https://picsum.photos/id/198/3456/2304.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,2
Product courageous,9551.00,6,true,78,https://picsum.photos/id/901/4016/4016.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,3
Product lucky,6515.00,7,true,27,https://picsum.photos/id/1039/6945/4635.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,4
Product universal,7247.00,8,false,0,https://picsum.photos/id/160/3200/2119.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,1
Product striking,4449.00,9,true,71,https://picsum.photos/id/528/4000/3000.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,2
Product misty,8275.00,10,true,57,https://picsum.photos/id/536/1693/1129.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,3
Product appalling,5592.00,11,false,0,https://picsum.photos/id/774/6000/4000.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,4
Product civic,8396.00,12,false,0,https://picsum.photos/id/144/4912/2760.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,1
Product low,6384.00,13,false,0,https://picsum.photos/id/951/4472/2803.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,2
Product glorious,3263.00,14,false,0,https://picsum.photos/id/439/5395/3597.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,3
Product changing,8741.00,15,true,33,https://picsum.photos/id/287/4288/2848.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,4
Product absolute,9683.00,16,true,9,https://picsum.photos/id/196/2048/1536.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,1
Product sudden,6471.00,17,true,44,https://picsum.photos/id/197/4272/2848.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,2
Product current,788.00,18,false,0,https://picsum.photos/id/548/5760/3840.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,3
Product overwhelming,2569.00,19,false,0,https://picsum.photos/id/267/3796/2541.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,4
Product querulous,1293.00,20,true,60,https://picsum.photos/id/30/1280/901.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,1
Product forward,2510.00,21,false,0,https://picsum.photos/id/830/5184/3456.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,2
Product marxist,528.00,22,true,13,https://picsum.photos/id/984/4000/2248.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,3
Product native,5894.00,23,true,31,https://picsum.photos/id/974/5615/2907.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,4
Product developed,5549.00,24,false,0,https://picsum.photos/id/412/7360/4912.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,1
Product persistent,6114.00,25,false,0,https://picsum.photos/id/355/5340/3588.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,2
Product hollow,293.00,26,false,0,https://picsum.photos/id/938/5786/3847.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,3
Product manual,1431.00,27,false,0,https://picsum.photos/id/39/3456/2304.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,4
Product obnoxious,7814.00,28,true,64,https://picsum.photos/id/833/3184/4776.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,1
Product static,7546.00,29,false,0,https://picsum.photos/id/990/5680/3787.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,2
Product like,8762.00,30,false,0,https://picsum.photos/id/1053/3596/2393.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,3
Product vitreous,8449.00,31,false,0,https://picsum.photos/id/923/4616/2699.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,4
Product relevant,7868.00,32,false,0,https://picsum.photos/id/907/6004/3914.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,1
Product violent,9405.00,33,true,74,https://picsum.photos/id/154/3264/2176.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,2
Product amazing,8267.00,34,true,34,https://picsum.photos/id/953/4752/3168.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,3
Product agreed,8263.00,35,true,67,https://picsum.photos/id/758/3648/5472.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,4
Product socialist,6337.00,36,false,0,https://picsum.photos/id/703/3926/2848.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,1
Product inherent,3633.00,37,true,37,https://picsum.photos/id/188/2896/1936.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,2
Product gay,5753.00,38,false,0,https://picsum.photos/id/907/6004/3914.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,3
Product extensive,928.00,39,false,0,https://picsum.photos/id/686/4462/2975.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,4
Product profound,79.00,40,true,55,https://picsum.photos/id/670/2048/1367.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,1
Product labour,6080.00,41,false,0,https://picsum.photos/id/112/4200/2800.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,2
Product weekly,5399.00,42,true,9,https://picsum.photos/id/451/1545/1024.jpg,Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris.,3
Product witty,7303.00,43,false,0,https://picsum.photos/id/116/3504/2336.jpg,Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla.,4
Product reduced,9819.00,44,true,43,https://picsum.photos/id/29/4000/2670.jpg,Curabitur sodales ligula in libero. Sed dignissim lacinia nunc.,1
